Date,Open,High,Low,Close,Adj Close,Volume
2015-11-17,111.610001,112.290001,111.209999,111.489998,106.724121,30579500
2015-11-18,111.940002,113.739998,111.830002,113.629997,108.772629,32966500
2015-11-19,113.690002,114.230003,113.489998,113.709999,108.849228,26188100
2015-11-20,114.250000,114.570000,114.139999,114.480003,109.586296,22727600
2015-11-23,114.519997,114.940002,113.660004,114.150002,109.270416,20696200
2015-11-24,113.410004,114.320000,112.839996,114.050003,109.174683,26374400
2015-11-25,114.220001,114.360001,113.910004,114.150002,109.270416,14159900
2015-11-27,114.400002,114.540001,113.919998,114.309998,109.423569,8828000
2015-11-30,114.650002,114.650002,113.650002,114.019997,109.145966,25041600
2015-12-01,114.480003,115.160004,114.339996,115.160004,110.237244,28639400
2015-12-02,115.250000,115.750000,114.279999,114.449997,109.557587,22395500
2015-12-03,114.760002,114.959999,111.839996,112.510002,107.700500,42754300
2015-12-04,112.849998,115.330002,112.620003,115.139999,110.218079,40037300
2015-12-07,115.220001,115.290001,114.070000,114.620003,109.720322,25892100
2015-12-08,113.419998,115.000000,113.379997,114.629997,109.729889,30792600
2015-12-09,114.129997,114.760002,112.199997,112.889999,108.064285,48509200
2015-12-10,113.150002,114.160004,112.809998,113.400002,108.552483,30154600
2015-12-11,112.089996,112.389999,110.720001,110.790001,106.054039,56022200
2015-12-14,110.940002,111.680000,109.379997,111.629997,106.858139,53098500
2015-12-15,112.660004,113.279999,112.169998,112.309998,107.509056,48428000
2015-12-16,113.070000,114.169998,111.889999,113.980003,109.107689,44944100
2015-12-17,114.480003,114.480003,112.300003,112.320000,107.518646,45668800
2015-12-18,111.629997,111.879997,109.830002,109.830002,105.456177,53746100
2015-12-21,110.870003,111.070000,110.050003,111.050003,106.627609,26432800
2015-12-22,111.639999,111.940002,111.050003,111.779999,107.328522,26540300
2015-12-23,112.360001,112.690002,112.160004,112.610001,108.125450,25656900
2015-12-24,112.610001,112.900002,112.540001,112.589996,108.106270,11468600
