Date,Open,High,Low,Close,Adj Close,Volume
2015-11-19,73.190002,73.419998,73.010002,73.050003,68.479866,111200
2015-11-20,73.489998,73.860001,73.489998,73.769997,69.154816,60900
2015-11-23,73.800003,74.180000,73.730003,73.930000,69.304810,108300
2015-11-24,73.500000,74.000000,73.169998,73.849998,69.229820,89000
2015-11-25,73.980003,74.199997,73.980003,74.099998,69.464172,161300
2015-11-27,74.169998,74.360001,74.029999,74.260002,69.614182,75600
2015-11-30,74.389999,74.389999,73.550003,73.589996,68.986084,84900
2015-12-01,73.910004,74.480003,73.820000,74.440002,69.782890,92200
2015-12-02,74.470001,74.639999,73.970001,74.050003,69.417313,165800
2015-12-03,74.260002,74.269997,72.589996,72.839996,68.282990,262800
2015-12-04,73.040001,74.540001,73.029999,74.440002,69.782890,86100
2015-12-07,74.510002,74.589996,73.750000,74.129997,69.492317,247700
2015-12-08,73.449997,74.370003,73.449997,74.209999,69.567299,82100
2015-12-09,73.910004,74.300003,72.900002,73.169998,68.592346,133500
2015-12-10,73.110001,73.769997,73.059998,73.230003,68.648613,126200
2015-12-11,72.500000,72.800003,71.930000,71.970001,67.467430,143600
2015-12-14,72.110001,72.760002,71.580002,72.720001,68.170532,506900
2015-12-15,73.430000,73.639999,73.080002,73.150002,68.573586,239100
2015-12-16,73.589996,74.440002,73.309998,74.300003,69.651665,353800
2015-12-17,74.430000,74.430000,73.430000,73.449997,68.854836,562500
2015-12-18,73.209999,73.209999,72.320000,72.330002,67.804932,194300
2015-12-21,72.820000,73.019997,72.480003,72.970001,68.404869,227900
2015-12-22,73.379997,73.550003,72.830002,73.389999,68.798615,682300
2015-12-23,73.839996,73.839996,73.570000,73.830002,69.211067,212500
2015-12-24,73.550003,73.699997,73.430000,73.449997,69.043739,161200
2015-12-28,73.330002,73.639999,73.089996,73.639999,69.222359,386000
2015-12-29,74.029999,74.660004,74.029999,74.529999,70.058960,148600
2015-12-30,74.480003,74.500000,74.070000,74.129997,69.682976,208900
2015-12-31,73.889999,74.089996,73.290001,73.290001,68.893356,178800
2016-01-04,72.080002,72.080002,71.129997,71.809998,67.502121,494400
2016-01-05,72.059998,72.459999,71.800003,72.150002,67.821732,319800
2016-01-06,71.220001,72.110001,71.220001,71.769997,67.464523,262600
2016-01-07,70.480003,71.370003,70.040001,70.169998,65.960526,212000
2016-01-08,70.709999,70.790001,69.339996,69.500000,65.330704,568300
2016-01-11,69.790001,70.160004,69.019997,69.919998,65.725525,460100
2016-01-12,70.559998,70.870003,69.860001,70.669998,66.430527,211500
2016-01-13,70.900002,70.900002,68.360001,68.489998,64.381294,338200
2016-01-14,68.620003,69.779999,67.730003,69.260002,65.105110,347100
2016-01-15,67.349998,68.309998,60.740002,67.949997,63.873699,322900
2016-01-19,68.760002,68.980003,67.860001,68.430000,64.324905,279800
2016-01-20,67.430000,68.339996,65.820000,67.790001,63.723297,883400
2016-01-21,67.959999,68.760002,67.500000,68.019997,63.939487,942500
2016-01-22,68.870003,69.480003,68.800003,69.360001,65.199127,793200
2016-01-25,69.260002,69.519997,68.570000,68.620003,64.503517,489500
2016-01-26,68.860001,69.360001,68.589996,69.220001,65.067520,371800
2016-01-27,69.220001,69.449997,67.809998,68.190002,64.099297,525400
2016-01-28,69.129997,69.389999,68.239998,69.180000,65.029922,278200
2016-01-29,69.059998,70.519997,68.989998,70.500000,66.270706,302100
2016-02-01,70.190002,71.180000,70.180000,70.879997,66.627922,426400
2016-02-02,70.459999,70.570000,69.629997,69.870003,65.678513,758900
2016-02-03,70.139999,70.360001,68.120003,69.139999,64.992294,611700
2016-02-04,68.830002,68.860001,67.959999,68.440002,64.334312,406600
2016-02-05,68.230003,68.230003,66.160004,66.389999,62.407272,427100
2016-02-08,65.349998,65.379997,63.919998,64.879997,60.987846,631000
2016-02-09,64.190002,65.910004,64.190002,65.230003,61.316875,609900
2016-02-10,65.879997,66.879997,65.870003,65.940002,61.984280,668300
2016-02-11,64.919998,65.839996,64.709999,65.430000,61.504883,304900
2016-02-12,66.080002,66.360001,65.760002,66.320000,62.341480,506200
2016-02-16,67.110001,67.470001,66.699997,67.459999,63.413101,146200
2016-02-17,67.940002,68.699997,67.750000,68.540001,64.428291,205100
2016-02-18,68.660004,68.660004,67.849998,67.970001,63.892494,125800
2016-02-19,67.699997,68.379997,67.459999,68.360001,64.259087,92600
2016-02-22,68.919998,69.480003,68.919998,69.389999,65.227310,189000
2016-02-23,69.379997,69.599998,69.000000,69.050003,64.907722,118400
2016-02-24,68.480003,69.540001,68.010002,69.449997,65.283707,110100
2016-02-25,69.629997,70.500000,69.430000,70.500000,66.270706,248100
2016-02-26,70.839996,70.879997,70.129997,70.260002,66.045135,107300
2016-02-29,70.160004,70.589996,69.599998,69.599998,65.424713,240400
2016-03-01,70.190002,71.199997,69.989998,71.199997,66.928719,295300
2016-03-02,71.089996,71.150002,70.629997,71.059998,66.797112,288300
2016-03-03,70.910004,71.019997,70.400002,71.010002,66.750122,268000
2016-03-04,71.089996,71.250000,70.650002,70.910004,66.656143,573000
2016-03-07,70.550003,70.589996,69.739998,70.160004,65.951126,334800
2016-03-08,69.769997,70.550003,69.629997,69.900002,65.706718,608000
2016-03-09,70.279999,70.290001,69.849998,70.250000,66.035713,75900
2016-03-10,70.559998,70.860001,69.669998,70.330002,66.110924,125400
2016-03-11,70.919998,71.470001,70.820000,71.449997,67.163734,163000
2016-03-14,71.230003,71.730003,71.230003,71.599998,67.304726,231400
2016-03-15,71.139999,71.629997,71.139999,71.559998,67.267128,194300
2016-03-16,71.540001,72.089996,71.309998,71.949997,67.633736,281000
2016-03-17,71.839996,72.059998,71.519997,71.910004,67.596138,454400
2016-03-18,72.239998,72.309998,71.809998,72.050003,67.727737,187300
2016-03-21,72.000000,72.260002,71.809998,72.180000,67.849945,234500
2016-03-22,71.839996,72.449997,71.839996,72.209999,67.878143,286800
2016-03-23,71.820000,72.160004,71.699997,71.930000,67.794281,82100
2016-03-24,71.660004,71.910004,71.379997,71.910004,67.775421,253900
2016-03-28,72.059998,72.330002,71.980003,72.120003,67.973335,262400
2016-03-29,72.000000,72.989998,72.000000,72.940002,68.746185,404000
2016-03-30,73.320000,73.480003,73.199997,73.300003,69.085487,143000
2016-03-31,73.279999,73.449997,73.010002,73.099998,68.897003,426600
2016-04-01,72.769997,73.949997,72.769997,73.900002,69.650986,366200
2016-04-04,73.959999,73.959999,73.349998,73.529999,69.302269,416500
2016-04-05,72.919998,73.089996,72.669998,72.769997,68.585960,308300
2016-04-06,72.820000,73.690002,72.820000,73.669998,69.434204,180000
2016-04-07,73.379997,73.449997,72.650002,72.959999,68.765030,329500
2016-04-08,73.379997,73.379997,72.639999,72.839996,68.651924,345400
2016-04-11,73.059998,73.209999,72.360001,72.389999,68.227814,180900
2016-04-12,72.410004,72.879997,72.080002,72.809998,68.623665,781000
2016-04-13,73.239998,73.290001,72.830002,73.220001,69.010094,191000
2016-04-14,73.279999,73.470001,73.110001,73.150002,68.944107,115100
2016-04-15,73.230003,73.330002,73.050003,73.320000,69.104347,331400
2016-04-18,73.150002,73.870003,73.150002,73.849998,69.603859,203300
2016-04-19,74.209999,74.209999,73.279999,73.589996,69.358818,224600
2016-04-20,73.690002,74.019997,73.449997,73.720001,69.481339,185500
2016-04-21,73.790001,73.790001,73.169998,73.239998,69.028931,179800
2016-04-22,72.830002,72.940002,72.190002,72.769997,68.585960,233100
2016-04-25,72.510002,72.900002,72.419998,72.900002,68.708496,140000
2016-04-26,73.019997,73.209999,72.650002,72.820000,68.633087,172900
2016-04-27,72.820000,73.000000,72.389999,72.809998,68.623665,262500
2016-04-28,72.949997,73.430000,72.339996,72.519997,68.350334,173600
2016-04-29,72.650002,72.750000,72.089996,72.639999,68.463432,334600
2016-05-02,72.790001,73.610001,72.790001,73.559998,69.330536,353100
2016-05-03,73.040001,73.400002,72.839996,73.059998,68.859306,177200
2016-05-04,72.629997,73.089996,72.580002,72.989998,68.793312,146500
2016-05-05,72.959999,73.180000,72.779999,72.870003,68.680222,50600
2016-05-06,72.790001,73.339996,72.540001,73.330002,69.113770,137300
2016-05-09,73.309998,74.050003,73.309998,73.849998,69.603859,101500
2016-05-10,74.209999,74.839996,74.120003,74.839996,70.536949,140800
2016-05-11,74.790001,74.790001,74.029999,74.029999,69.773521,208500
2016-05-12,74.400002,74.489998,73.750000,74.209999,69.943161,78000
2016-05-13,74.110001,74.339996,73.690002,73.800003,69.556755,68000
2016-05-16,73.820000,74.480003,73.629997,74.279999,70.009132,180400
2016-05-17,74.110001,74.180000,73.059998,73.250000,69.038383,203000
2016-05-18,73.019997,73.650002,72.750000,73.230003,69.019508,270100
2016-05-19,72.800003,73.099998,72.529999,72.980003,68.783897,125800
2016-05-20,73.169998,73.529999,73.169998,73.309998,69.094910,104600
2016-05-23,73.309998,73.370003,72.989998,73.010002,68.812157,439800
2016-05-24,73.269997,74.250000,73.269997,74.180000,69.914879,231500
2016-05-25,74.300003,74.419998,74.129997,74.220001,69.952606,145500
2016-05-26,74.349998,74.470001,74.190002,74.370003,70.093956,111300
2016-05-27,74.470001,74.699997,74.410004,74.620003,70.329597,89600
2016-05-31,74.750000,74.769997,74.160004,74.419998,70.141098,339200
2016-06-01,74.209999,74.639999,74.209999,74.629997,70.339012,149300
2016-06-02,74.529999,74.830002,74.430000,74.830002,70.527519,177600
2016-06-03,74.889999,75.239998,74.669998,75.120003,70.800858,201100
2016-06-06,75.190002,75.269997,74.870003,75.080002,70.763130,415600
2016-06-07,75.190002,75.370003,75.070000,75.099998,70.781982,223900
2016-06-08,75.180000,75.620003,75.110001,75.559998,71.215553,173600
2016-06-09,75.379997,75.910004,75.379997,75.839996,71.479431,162800
2016-06-10,75.449997,75.589996,75.160004,75.400002,71.064751,174200
2016-06-13,75.150002,75.459999,74.879997,74.919998,70.612343,190500
2016-06-14,74.769997,75.000000,74.570000,75.000000,70.687744,163700
2016-06-15,75.099998,75.209999,74.769997,74.830002,70.527519,423100
2016-06-16,74.620003,75.169998,74.400002,75.129997,70.810280,224400
2016-06-17,75.190002,75.190002,74.309998,74.660004,70.367294,216200
2016-06-20,75.199997,75.449997,75.050003,75.099998,70.781982,159600
2016-06-21,75.070000,75.199997,74.989998,75.040001,70.925659,139500
2016-06-22,75.120003,75.190002,74.830002,74.860001,70.755531,159200
2016-06-23,75.279999,75.540001,75.080002,75.540001,71.398247,223400
2016-06-24,73.769997,74.910004,73.320000,73.940002,69.885971,309600
2016-06-27,73.510002,73.690002,73.150002,73.589996,69.555153,337200
